file_name,formula,space_group,value_per_atom,composition,crystal_system
54_Ba2Sn6,Ba2Sn6,Cmcm,-0.2436607623660132,BaSn3,orthorhombic
56_CsMn,CsMn,P-6m2,-5.420664132459949,CsMn,hexagonal
57_Ga2Np,Ga2Np,P6/mmm,-0.2534501835418178,NpGa2,hexagonal
58_Na2Pt4,Na2Pt4,Cmcm,-0.0507407090270112,NaPt2,orthorhombic
59_GaNp,GaNp,P-6m2,-0.1856436631432938,NpGa,hexagonal
61_NpPd,NpPd,P-6m2,0.0645258048743269,NpPd,hexagonal
64_Ag3Al5,Ag3Al5,P1,-0.0039340081548497,Al5Ag3,triclinic
66_CsSb,CsSb,P-6m2,-0.1281485487240288,CsSb,hexagonal
67_Ac3Yb,Ac3Yb,Fm-3m,0.0483534304371855,Ac3Yb,cubic
68_FePb3,FePb3,Fm-3m,0.7885119954880766,FePb3,cubic
69_FeP,FeP,R-3m,-0.053819012798443,FeP,trigonal
71_Au6Mn2,Au6Mn2,Cmcm,0.0028625383247353,MnAu3,orthorhombic
72_Ni4Ge4,Ni4Ge4,Pnma,-0.3244859129136115,NiGe,orthorhombic
74_SmSb,SmSb,P-6m2,-1.3450050363071764,SmSb,hexagonal
76_RhV,RhV,P-6m2,-0.2399275600042898,VRh,hexagonal
77_Au4Mn,Au4Mn,Immm,-0.0475317577619271,MnAu4,orthorhombic
81_Mo2As,Mo2As,Fmmm,0.430459223416058,Mo2As,orthorhombic
82_Al2Sn6,Al2Sn6,Cmcm,0.0934787482373256,AlSn3,orthorhombic
87_AuMn3,AuMn3,Pmmm,0.2960059875718608,Mn3Au,orthorhombic
89_Ba2Ge2,Ba2Ge2,Pmmn,-0.1168555505437622,BaGe,orthorhombic
92_InI,InI,R-3m,-0.3710410919205595,InI,trigonal
93_GaGe,GaGe,R-3m,-0.0146410194391521,GaGe,trigonal
108_Fe2Pb2,Fe2Pb2,Cmcm,0.4067883133950829,FePb,orthorhombic
113_CsV,CsV,P-6m2,-0.1117365929441112,CsV,hexagonal
114_CrNb3,CrNb3,Immm,0.0723080494381864,Nb3Cr,orthorhombic
116_Ba2Ge2,Ba2Ge2,Cmcm,-0.5915835598114554,BaGe,orthorhombic
118_CrTa,CrTa,F-43m,2.66607583354954,TaCr,cubic
119_IrP,IrP,R-3m,-0.126183099143863,PIr,trigonal
120_Cu8Fe16,Cu8Fe16,Fd-3m,0.325100666679899,Fe2Cu,cubic
121_Fe12W12,Fe12W12,Pbcm,0.1591388106529313,FeW,orthorhombic
123_WP,WP,F-43m,0.5181687470777128,PW,cubic
124_PbV3,PbV3,Fm-3m,0.3868962014052073,V3Pb,cubic
125_Nb4I16,Nb4I16,Cmc2_1,-0.5983008791202679,NbI4,orthorhombic
127_Ge4As2,Ge4As2,Pnnm,0.2688744583085179,Ge2As,orthorhombic
129_InPt,InPt,Fm-3m,-0.2747187912913738,InPt,cubic
130_GaP,GaP,Pm-3m,0.2827077846157659,GaP,cubic
131_NiSn,NiSn,P-6m2,-0.1266843635676862,NiSn,hexagonal
132_Au2In4,Au2In4,Pnnm,-0.1418995868927499,In2Au,orthorhombic
134_Au4Sr16,Au4Sr16,I-43m,-0.1130436182400256,Sr4Au,cubic
136_Cu6Pt4,Cu6Pt4,P1,-0.1196874372681321,Cu3Pt2,triclinic
137_Au3P,Au3P,Immm,0.2305156716459713,PAu3,orthorhombic
138_Ge2As4,Ge2As4,Pnnm,0.1196947121736281,GeAs2,orthorhombic
139_NpSb,NpSb,Fm-3m,-0.4497482521408535,NpSb,cubic
140_CrNb5,CrNb5,F-43m,0.4547293105615727,Nb5Cr,cubic
141_CeBr,CeBr,F-43m,-0.8023102457033016,CeBr,cubic
143_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4142137698980046,BaPt,hexagonal
145_Cu4Fe8,Cu4Fe8,Pa-3,0.9290346282517644,Fe2Cu,cubic
146_RbRh,RbRh,P-6m2,1.0519039009339617,RbRh,hexagonal
147_Cu2Ni26,Cu2Ni26,Fm-3c,0.2677396298890073,CuNi13,cubic
148_CrTh,CrTh,F-43m,1.709790452893314,ThCr,cubic
150_YbP,YbP,R-3m,-0.8482652900103984,YbP,trigonal
151_Ir2Mo4,Ir2Mo4,Pnnm,0.2558778878110732,Mo2Ir,orthorhombic
157_Ag3Al4,Ag3Al4,P-1,0.003962790239954,Al4Ag3,triclinic
158_Cu2Ge4,Cu2Ge4,Pnnm,0.1885786881460269,CuGe2,orthorhombic
159_CrMn,CrMn,P-6m2,0.2433130873062836,MnCr,hexagonal
160_Ba2Pt2,Ba2Pt2,P6_3/mmc,-0.4579160620289459,BaPt,hexagonal
161_Ni2Ta4,Ni2Ta4,Fd-3m,0.6395073564584782,Ta2Ni,cubic
162_FeAs3,FeAs3,Imm2,0.0881821666677709,FeAs3,orthorhombic
164_Mo3P,Mo3P,Fm-3m,0.0756003152457989,Mo3P,cubic
166_K4Sn2,K4Sn2,Pnnm,0.0339120821430973,K2Sn,orthorhombic
