file_name,formula,space_group,value_per_atom,structural_complexity
4268_In4W8,In4W8,Pnma,0.5404186690897484,19.019550008653876
135_Pt8Sn4,Pt8Sn4,I4_1/amd,-0.3379489042611444,19.019550008653876
35_Ag4Sn8,Ag4Sn8,I4_1/amd,0.0393953092254234,19.019550008653876
4086_Sn8W4,Sn8W4,I4_1/amd,0.4984100343295215,19.019550008653876
34_Nb4W8,Nb4W8,Pnma,0.1253886633291424,19.019550008653876
2118_Ge5P3,Ge5P3,Cmmm,0.4001806940265355,18.0
3357_Ir3Ta5,Ir3Ta5,Cmmm,-0.3663745186503728,18.0
4616_Pt3V5,Pt3V5,Cmmm,-0.4058848760908624,18.0
4613_In3Mo5,In3Mo5,Cmmm,0.3843984287084891,18.0
3333_Al3Pt5,Al3Pt5,Cmmm,-0.915859397452909,18.0
4538_Ge5As3,Ge5As3,Cmmm,0.3379859815522268,18.0
2076_K5P3,K5P3,Cmmm,0.0229123948438667,18.0
4356_Fe5Sb3,Fe5Sb3,Cmmm,0.3266920626745477,18.0
2998_Ta3Sb5,Ta3Sb5,Cmmm,0.3737763057917291,18.0
3018_Cu5Br3,Cu5Br3,Cmmm,0.2481934826088245,18.0
286_Ca3P5,Ca3P5,Cmmm,-0.4401060503561709,18.0
834_Ag5Sn3,Ag5Sn3,Cmmm,0.0055465449788667,18.0
4107_Mn3W5,Mn3W5,Cmmm,0.1556870506274474,18.0
4382_Ba3Ga5,Ba3Ga5,Cmmm,-0.1704261584929725,18.0
3374_Rh5W3,Rh5W3,Cmmm,-0.1680544947770705,18.0
808_In5Ta3,In5Ta3,Cmmm,0.274984929722831,18.0
3179_Ge3As5,Ge3As5,Cmmm,0.3617212920548871,18.0
3061_Rh5W3,Rh5W3,Cmmm,-0.1732244838902854,18.0
624_Fe5As3,Fe5As3,Cmmm,0.0406293060694071,18.0
4235_Ag3Na5,Ag3Na5,Cmmm,-0.0012180582987706,18.0
994_Ga3Pt5,Ga3Pt5,Cmmm,-0.561520434446523,18.0
1971_Ca5Cu3,Ca5Cu3,P4/mmm,-0.0565900669884098,18.0
1195_Ag5Al3,Ag5Al3,Amm2,-0.0629852474614018,18.0
49_Al3Sb5,Al3Sb5,Cmmm,0.2406565035847956,18.0
1999_Sb3Ge5,Sb3Ge5,Cmmm,0.279852167525032,18.0
4964_Cu3Na5,Cu3Na5,Cmmm,0.2736034573217432,18.0
4808_Nb5Br3,Nb5Br3,Cmmm,0.5808076985533646,18.0
1444_Au5Nb3,Au5Nb3,Cmmm,0.0112431867626598,18.0
4800_Nb3Br5,Nb3Br5,Cmmm,-0.0615081050359869,18.0
2423_Al3Sn5,Al3Sn5,Cmmm,0.1306375382299589,18.0
1246_Al3Cu5,Al3Cu5,Cmmm,-0.2072909856782967,18.0
1633_Ba5Sn3,Ba5Sn3,Cmmm,-0.4833400665952947,18.0
2419_Ag5Al3,Ag5Al3,Amm2,-2.339860029082108,18.0
4874_Ga5Nb3,Ga5Nb3,Cmmm,-0.2383261687443578,18.0
1198_Ag5Al3,Ag5Al3,Amm2,-0.0362252790731596,18.0
4730_Au3Ba5,Au3Ba5,Cmmm,-0.440568201391275,18.0
2368_Ga5Br3,Ga5Br3,Cmmm,-0.2414670257688573,18.0
1697_Ca5Ga3,Ca5Ga3,Cmmm,-0.1228295982076836,18.0
2396_Ca5P3,Ca5P3,Cmmm,-0.9491693569273068,18.0
1959_Pb5Sb3,Pb5Sb3,Cmmm,0.0442930198409401,18.0
3751_Ag8K4,Ag8K4,P6_3/mmc,0.0051023062900457,17.509775004326936
3379_K4Na8,K4Na8,P6_3/mmc,-0.0243008570655279,17.509775004326936
2468_Fe6P3,Fe6P3,P-62m,-0.5281060693301955,17.019550008653873
724_Mo2W6,Mo2W6,I4/mmm,0.3719728802045488,16.0
4292_Au6Mn2,Au6Mn2,I4/mmm,-0.0405193873597822,16.0
288_As2Br6,As2Br6,I4/mmm,0.3046454324844947,16.0
4883_Mo6Rh2,Mo6Rh2,I4/mmm,0.0748557648128329,16.0
690_Ag6Al2,Ag6Al2,P4/nmm,-0.0033059475086609,16.0
1856_Cu4Pt4,Cu4Pt4,P-1,-0.1205808597847024,16.0
2440_Cu2Ge6,Cu2Ge6,I4/mmm,0.3005277198815186,16.0
1229_Nb2V6,Nb2V6,I4/mmm,0.1581114690204579,16.0
3448_Ag2Br6,Ag2Br6,I4/mmm,-0.1108622604289462,16.0
2386_K6P2,K6P2,I4/mmm,-0.1084430645371972,16.0
4265_Ba2Ni6,Ba2Ni6,I4/mmm,0.6240558499667035,16.0
1186_Ag6Al2,Ag6Al2,Cmmm,-0.0471502445581117,16.0
4981_Ag2Br6,Ag2Br6,I4/mmm,-0.0441878178169319,16.0
1867_Cr6Sr2,Cr6Sr2,I4/mmm,1.4466103641065455,16.0
1876_Ca6Cr2,Ca6Cr2,I4/mmm,0.8731378962099527,16.0
4712_Fe6Nb2,Fe6Nb2,I4/mmm,0.0127559507396668,16.0
3236_Mn2Sb6,Mn2Sb6,I4/mmm,0.5913991960011264,16.0
4373_Ca2As6,Ca2As6,P-1,-0.953861079987993,16.0
1660_V6W2,V6W2,I4/mmm,0.1271767347920729,16.0
2801_Al6Sb2,Al6Sb2,I4/mmm,0.1692057428212972,16.0
2920_Fe2Mo6,Fe2Mo6,I4/mmm,0.279591567029124,16.0
4605_Cu6Ir2,Cu6Ir2,I4/mmm,0.1147352875377123,16.0
3519_Ga2Ni6,Ga2Ni6,I4/mmm,-0.310124810305747,16.0
2950_Ca6Ta2,Ca6Ta2,I4/mmm,0.7325548895312664,16.0
4570_Ba2Ge6,Ba2Ge6,I4/mmm,-0.0218457243890619,16.0
2793_Mo2Rh6,Mo2Rh6,I4/mmm,-0.1970149649820438,16.0
4749_K6Rh2,K6Rh2,I4/mmm,0.6040952700919129,16.0
2780_Nb6Rh2,Nb6Rh2,I4/mmm,-0.0742120441850051,16.0
4535_In2Mn6,In2Mn6,I4/mmm,0.3305705497817044,16.0
4768_Pb6P2,Pb6P2,I4/mmm,0.2162553450890172,16.0
2655_Ag4Al4,Ag4Al4,P4/mmm,-0.0168922985582784,16.0
3021_Ir2Rh6,Ir2Rh6,I4/mmm,0.0023693738483077,16.0
2642_Ag4Al4,Ag4Al4,P4/nmm,-0.0290568165324929,16.0
2330_Ag4Al4,Ag4Al4,I4/mmm,-0.015127320994988,16.0
1096_Ga2W6,Ga2W6,I4/mmm,0.2772853612739112,16.0
2180_Mn2V6,Mn2V6,I4/mmm,0.0301983632533797,16.0
4488_Al2V6,Al2V6,I4/mmm,-0.0845296956554664,16.0
4471_Cu2Pt6,Cu2Pt6,I4/mmm,-0.1142671369682535,16.0
2124_Fe6Ir2,Fe6Ir2,I4/mmm,0.0352644097519831,16.0
1668_Ba6As2,Ba6As2,I4/mmm,-0.3480596932121238,16.0
832_Ni6P2,Ni6P2,I4/mmm,-0.3125298444586937,16.0
4435_Na2Pd6,Na2Pd6,I4/mmm,-0.0039800834452812,16.0
79_Ag2Al6,Ag2Al6,I4/mmm,0.0341048023002974,16.0
2112_Ag6Al2,Ag6Al2,Pmmn,-0.0362782632402982,16.0
152_Ni2As6,Ni2As6,I4/mmm,0.2952248090641767,16.0
266_Ag4Al4,Ag4Al4,Cccm,-0.0171242730527843,16.0
224_K2As6,K2As6,I4/mmm,0.0183152754736446,16.0
2017_Mn6Sn2,Mn6Sn2,I4/mmm,0.2060444772109209,16.0
589_Ni2P6,Ni2P6,I4/mmm,0.3413307033604384,16.0
4036_Na6Pd2,Na6Pd2,I4/mmm,-0.0136777169854349,16.0
1416_Cu2Ge6,Cu2Ge6,I4/mmm,0.2952457794634711,16.0
1425_Mn6Sb2,Mn6Sb2,I4/mmm,0.1532675726229939,16.0
3585_Pt6As2,Pt6As2,I4/mmm,-0.0470132012798281,16.0
3686_Fe2Sr6,Fe2Sr6,I4/mmm,0.615835199672778,16.0
1478_Ta2Ge6,Ta2Ge6,I4/mmm,0.1118716085629225,16.0
2041_Pt6Sn2,Pt6Sn2,I4/mmm,-0.3247850276886179,16.0
3688_Pd4Pt4,Pd4Pt4,Imma,-0.032065831937813,16.0
3714_Fe2Sr6,Fe2Sr6,I4/mmm,0.8647008501467695,16.0
4014_Ta2P6,Ta2P6,I4/mmm,-0.1821465687261643,16.0
4909_InMn5,InMn5,Amm2,0.348006162550855,15.509775004326936
3092_Al4Sn2,Al4Sn2,Cm,0.1378266215590902,15.509775004326936
4598_Ni3Rh3,Ni3Rh3,Cm,0.0590098443842267,15.509775004326936
2524_K5Ni,K5Ni,Cmmm,0.4523238413744102,15.509775004326936
