formula,space_group,count,median,median_cif_name,other_cif_names
Au8In,I4/mmm,2,-0.05219148312859065,2011_Au8In.cif,2447_Au8In.cif
Au8Mn4,Pnma,2,-0.0349485481569867,0195_Au8Mn4.cif,1122_Au8Mn4.cif
AuCr2,I4/mmm,2,0.37334273960895453,0995_AuCr2.cif,2445_AuCr2.cif
AuCu,Pm-3m,2,-0.06287133975270275,3982_AuCu.cif,4327_AuCu.cif
AuCu3,P4/mmm,2,-0.01229676462524915,1152_AuCu3.cif,1530_AuCu3.cif
AuCu3,Pm-3m,2,1.1013277080549424,2821_AuCu3.cif,3105_AuCu3.cif
AuGa,F-43m,2,0.016377805594046897,1078_AuGa.cif,2407_AuGa.cif
AuGa3,P4/mmm,2,-0.046284450839512145,0319_AuGa3.cif,1725_AuGa3.cif
AuNb,F-43m,2,1.210546437972257,0529_AuNb.cif,2614_AuNb.cif
AuNb3,Pmm2,2,0.09954854811953945,0396_AuNb3.cif,1690_AuNb3.cif
AuNp,F-43m,2,1.7876044453670747,0791_AuNp.cif,1923_AuNp.cif
AuP3,Imm2,2,0.45313971700034683,0788_AuP3.cif,2951_AuP3.cif
AuSb3,P4/mmm,2,0.22851192467876386,3187_AuSb3.cif,3586_AuSb3.cif
AuSr,Pm-3m,2,-0.7406152934720147,0585_AuSr.cif,1960_AuSr.cif
AuU,Fm-3m,2,0.10415366780647645,1098_AuU.cif,1692_AuU.cif
AuV,F-43m,2,1.0466347040181754,4870_AuV.cif,4827_AuV.cif
AuV,Fm-3m,2,0.645398614798621,0687_AuV.cif,2462_AuV.cif
Ba16Ir4,I-43m,2,0.20131864496112395,2098_Ba16Ir4.cif,2320_Ba16Ir4.cif
Ba2Br,I4/mmm,2,-0.958222879704784,1430_Ba2Br.cif,1421_Ba2Br.cif
Ba2Fe2,P6_3mc,2,1.4472072685523392,1957_Ba2Fe2.cif,2550_Ba2Fe2.cif
Ba2Ge2,Cmcm,2,-0.4168352960777797,0115_Ba2Ge2.cif,2015_Ba2Ge2.cif
Ba2Ir2,Cmcm,2,0.5429406816095628,3155_Ba2Ir2.cif,4993_Ba2Ir2.cif
Ba2Pd,Fmmm,2,-0.3627281425618722,1534_Ba2Pd.cif,1817_Ba2Pd.cif
Ba2Pd4,Cmcm,2,-0.31824661747856187,0544_Ba2Pd4.cif,0506_Ba2Pd4.cif
Ba2Pt2,P6_3/mmc,2,-0.4360649159634753,0159_Ba2Pt2.cif,0142_Ba2Pt2.cif
Ba2Sb,Fmmm,2,-4.101067037156893,3351_Ba2Sb.cif,3543_Ba2Sb.cif
Ba2Sn2,Pmma,2,-0.6115445322171169,1238_Ba2Sn2.cif,1717_Ba2Sn2.cif
Ba2Sn4,Cmcm,2,-0.49151474035655485,0797_Ba2Sn4.cif,2193_Ba2Sn4.cif
Ba2W2,Cmcm,2,0.8055696933048031,3145_Ba2W2.cif,4164_Ba2W2.cif
Ba2W2,Imma,2,1.0340271762017892,2846_Ba2W2.cif,4364_Ba2W2.cif
Ba3Br,P4/mmm,2,-0.6954001448567926,0272_Ba3Br.cif,1402_Ba3Br.cif
Ba3Cu,P4/mmm,2,0.043933907847228254,1913_Ba3Cu.cif,1917_Ba3Cu.cif
Ba3Sn,Immm,2,-0.3222314356017755,0368_Ba3Sn.cif,0753_Ba3Sn.cif
